iter	Passed	Remaining
904	1040	109
905	1041	108
906	1042	106
907	1043	105
908	1044	104
909	1045	103
910	1046	102
911	1047	101
912	1048	99
913	1050	98
914	1052	97
915	1055	96
916	1056	95
917	1057	94
918	1058	93
919	1059	92
920	1060	90
921	1061	89
922	1062	88
923	1063	87
924	1064	86
925	1066	85
926	1068	84
927	1069	82
928	1070	81
929	1071	80
930	1071	79
931	1072	78
932	1073	77
933	1074	75
934	1075	74
935	1076	73
936	1077	72
937	1077	71
938	1079	70
939	1081	69
940	1082	67
941	1083	66
942	1084	65
943	1085	64
944	1086	63
945	1087	62
946	1088	60
947	1089	59
948	1090	58
949	1090	57
950	1091	56
951	1092	55
952	1093	53
953	1094	52
954	1094	51
955	1096	50
956	1098	49
957	1099	48
958	1100	47
959	1100	45
960	1101	44
961	1102	43
962	1103	42
963	1103	41
964	1104	40
965	1105	38
966	1106	37
967	1106	36
968	1107	35
969	1108	34
970	1108	33
971	1109	31
972	1111	30
973	1112	29
974	1113	28
975	1114	27
976	1115	26
977	1116	25
978	1116	23
979	1117	22
980	1118	21
981	1119	20
982	1120	19
983	1120	18
984	1121	17
985	1122	15
986	1123	14
987	1124	13
988	1125	12
989	1127	11
990	1128	10
991	1129	9
992	1130	7
993	1131	6
994	1131	5
995	1132	4
996	1133	3
997	1133	2
998	1134	1
999	1135	0
